Country,Year,fertility_age_women
United States of America,1950,2924.17
United States of America,1951,3099.41
United States of America,1952,3198.34
United States of America,1953,3267.58
United States of America,1954,3380.48
United States of America,1955,3426.89
United States of America,1956,3528.06
United States of America,1957,3605.24
United States of America,1958,3559.36
United States of America,1959,3570.38
United States of America,1960,3541.25
United States of America,1961,3508.84
United States of America,1962,3379.31
United States of America,1963,3263.23
United States of America,1964,3132.12
United States of America,1965,2852.57
United States of America,1966,2651.11
United States of America,1967,2515.53
United States of America,1968,2430.76
United States of America,1969,2421.57
United States of America,1970,2456.78
United States of America,1971,2249.19
United States of America,1972,1996.88
United States of America,1973,1864.63
United States of America,1974,1817.58
United States of America,1975,1759.24
United States of America,1976,1728.09
United States of America,1977,1769.53
United States of America,1978,1749.44
United States of America,1979,1792.29
United States of America,1980,1822.13
United States of America,1981,1799.57
United States of America,1982,1811.66
United States of America,1983,1786.83
United States of America,1984,1793.96
United States of America,1985,1826.47
United States of America,1986,1824.67
United States of America,1987,1858.17
United States of America,1988,1919.65
United States of America,1989,1994.73
United States of America,1990,2058.13
United States of America,1991,2043.19
United States of America,1992,2028.25
United States of America,1993,2002.67
United States of America,1994,1984.46
United States of America,1995,1962.24
United States of America,1996,1962.15
United States of America,1997,1959.81
United States of America,1998,1984.68
United States of America,1999,1998.1
United States of America,2000,2039.8
United States of America,2001,2020.96
United States of America,2002,2013.74
United States of America,2003,2036.79
United States of America,2004,2042.76
United States of America,2005,2052.54
United States of America,2006,2096.65
United States of America,2007,2106.67
United States of America,2008,2063.29
United States of America,2009,1995.09
United States of America,2010,1928.54
United States of America,2011,1891.11
United States of America,2012,1875
United States of America,2013,1853.64
United States of America,2014,1857.34
United States of America,2015,1840.8
United States of America,2016,1811.43
United States of America,2017,1758.8
United States of America,2018,1717.11
United States of America,2019,1688.5
United States of America,2020,1642.08
United States of America,2021,1661.14
