YEAR,STATE,FERTILITY_RATE,BIRTHS
2020,AL,60.6,57647
2020,AK,65.7,9469
2020,AZ,54,76947
2020,AR,60.7,35251
2020,CA,52.4,420259
2020,CO,51.5,61494
2020,CT,49.9,33460
2020,DE,57,10392
2020,FL,53.4,209671
2020,GA,55.7,122473
2020,HI,61.1,15785
2020,ID,60.9,21533
2020,IL,53.8,133298
2020,IN,59.8,78616
2020,IA,60.4,36114
2020,KS,61.1,34376
2020,KY,60.8,51668
2020,LA,62.2,57328
2020,ME,49.2,11539
2020,MD,57.7,68554
2020,MA,47.6,66428
2020,MI,55.6,104074
2020,MN,58.3,63443
2020,MS,61,35473
2020,MO,58.7,69285
2020,MT,54.3,10791
2020,NE,64.7,24291
2020,NV,54.8,33653
2020,NH,47.7,11791
2020,NJ,58.6,97954
2020,NM,54.6,21903
2020,NY,54.6,209338
2020,NC,56.2,116730
2020,ND,67.4,10059
2020,OH,58.3,129191
2020,OK,61,47623
2020,OR,47.8,39820
2020,PA,54.9,130693
2020,RI,48.7,10101
2020,SC,55.9,55704
2020,SD,66.7,10960
2020,TN,58.5,78689
2020,TX,60.2,368190
2020,UT,64.1,45702
2020,VT,44.7,5133
2020,VA,55.8,94749
2020,WA,54,83086
2020,WV,55.3,17323
2020,WI,55.4,60594
2020,WY,56.4,6128
2019,AL,61.7,58615
2019,AK,68.1,9822
2019,AZ,56.7,79375
2019,AR,63.2,36564
2019,CA,55.4,446479
2019,CO,53.3,62869
2019,CT,51.1,34258
2019,DE,58.7,10562
2019,FL,56.6,220002
2019,GA,58,126371
2019,HI,63.9,16797
2019,ID,64,22063
2019,IL,56.1,140128
2019,IN,61.7,80859
2019,IA,63.4,37649
2019,KS,63,35395
2019,KY,62.6,53069
2019,LA,63.9,58941
2019,ME,50.6,11779
2019,MD,59.2,70178
2019,MA,49.6,69117
2019,MI,57.4,107886
2019,MN,61,66027
2019,MS,62.7,36636
2019,MO,61.3,72127
2019,MT,56.8,11079
2019,NE,66.2,24755
2019,NV,58.3,35072
2019,NH,48.2,11839
2019,NJ,59.5,99585
2019,NM,57.6,22960
2019,NY,57.2,221539
2019,NC,57.8,118725
2019,ND,70.6,10454
2019,OH,60.8,134461
2019,OK,63.4,49143
2019,OR,50.6,41858
2019,PA,56.3,134230
2019,RI,48.8,10175
2019,SC,58,57038
2019,SD,70.6,11449
2019,TN,60.3,80450
2019,TX,62.5,377599
2019,UT,66.7,46826
2019,VT,46.8,5361
2019,VA,57.8,97429
2019,WA,56,84895
2019,WV,57.6,18136
2019,WI,58.1,63270
2019,WY,60.8,6565
2018,AL,60.9,57761
2018,AK,69.3,10086
2018,AZ,58.6,80723
2018,AR,64,37018
2018,CA,56.2,454920
2018,CO,54.1,62885
2018,CT,51.8,34725
2018,DE,59.1,10621
2018,FL,57.2,221542
2018,GA,58.3,126172
2018,HI,64.2,16972
2018,ID,63.4,21403
2018,IL,57.5,144815
2018,IN,62.8,81646
2018,IA,63.5,37785
2018,KS,64.7,36261
2018,KY,63.5,53922
2018,LA,64.3,59615
2018,ME,53.3,12311
2018,MD,59.9,71080
2018,MA,49.5,69109
2018,MI,58.5,110032
2018,MN,62.7,67344
2018,MS,62.8,37000
2018,MO,62.4,73269
2018,MT,59.6,11513
2018,NE,68.4,25488
2018,NV,60,35682
2018,NH,49.1,11995
2018,NJ,60.1,101223
2018,NM,58,23039
2018,NY,57.9,226238
2018,NC,58.4,118954
2018,ND,72.2,10636
2018,OH,61.1,135134
2018,OK,64.6,49800
2018,OR,51.4,42188
2018,PA,56.9,135673
2018,RI,50.5,10506
2018,SC,58.1,56669
2018,SD,73.6,11893
2018,TN,61.1,80751
2018,TX,63.4,378624
2018,UT,68.4,47209
2018,VT,47.2,5432
2018,VA,59.1,99843
2018,WA,57.5,86085
2018,WV,57.2,18248
2018,WI,58.9,64098
2018,WY,61,6562
2017,AL,62,58941
2017,AK,71.5,10445
2017,AZ,60.8,81872
2017,AR,65,37520
2017,CA,58.2,471658
2017,CO,56.6,64382
2017,CT,52.3,35221
2017,DE,60.2,10855
2017,FL,58.4,223630
2017,GA,60.2,129243
2017,HI,65.9,17517
2017,ID,67.4,22181
2017,IL,59,149390
2017,IN,63.4,82170
2017,IA,64.9,38430
2017,KS,65.4,36519
2017,KY,64.5,54752
2017,LA,65.2,61018
2017,ME,53.1,12298
2017,MD,60,71641
2017,MA,51.2,70702
2017,MI,59.4,111426
2017,MN,64.3,68595
2017,MS,63.1,37357
2017,MO,62.3,73034
2017,MT,62.1,11799
2017,NE,69.8,25821
2017,NV,60.7,35756
2017,NH,50.2,12116
2017,NJ,59,101250
2017,NM,60.1,23767
2017,NY,57.4,229737
2017,NC,59.6,120125
2017,ND,73.4,10737
2017,OH,62.1,136832
2017,OK,65.3,50214
2017,OR,53.8,43631
2017,PA,57.8,137745
2017,RI,50.9,10638
2017,SC,59.1,57029
2017,SD,76.4,12134
2017,TN,61.7,81016
2017,TX,64.9,382050
2017,UT,72,48585
2017,VT,49.7,5655
2017,VA,59.7,100391
2017,WA,59.8,87562
2017,WV,58,18675
2017,WI,60,64975
2017,WY,64.1,6903
2016,AL,62.1,59151
2016,AK,76.1,11209
2016,AZ,63.5,84520
2016,AR,66.4,38274
2016,CA,60.6,488827
2016,CO,59.3,66613
2016,CT,53.4,36015
2016,DE,61.2,10992
2016,FL,59.7,225022
2016,GA,61.1,130042
2016,HI,67.6,18059
2016,ID,69.8,22482
2016,IL,60.6,154445
2016,IN,64.3,83091
2016,IA,66.9,39403
2016,KS,68.1,38053
2016,KY,65.4,55449
2016,LA,67.2,63178
2016,ME,54.9,12705
2016,MD,61.3,73136
2016,MA,51.9,71317
2016,MI,60.5,113315
2016,MN,66.1,69749
2016,MS,63.7,37928
2016,MO,63.8,74705
2016,MT,65.3,12282
2016,NE,72.2,26589
2016,NV,62.6,36260
2016,NH,50.9,12267
2016,NJ,60.1,102647
2016,NM,62.7,24692
2016,NY,58.6,234283
2016,NC,60.3,120779
2016,ND,77.3,11383
2016,OH,62.8,138085
2016,OK,68.4,52592
2016,OR,57,45535
2016,PA,58.5,139409
2016,RI,51.8,10798
2016,SC,59.9,57342
2016,SD,77.7,12275
2016,TN,62,80807
2016,TX,68.6,398047
2016,UT,76.2,50464
2016,VT,50.3,5756
2016,VA,61.1,102460
2016,WA,63,90505
2016,WV,58.2,19079
2016,WI,61.6,66615
2016,WY,67.2,7386
2015,AL,62.2,59657
2015,AK,77,11282
2015,AZ,64.7,85351
2015,AR,67.5,38886
2015,CA,60.8,491748
2015,CO,60.2,66581
2015,CT,52.5,35746
2015,DE,61.8,11166
2015,FL,60,224269
2015,GA,62,131404
2015,HI,68.7,18420
2015,ID,71.8,22827
2015,IL,61.3,158116
2015,IN,64.8,84040
2015,IA,67.1,39482
2015,KS,69.9,39154
2015,KY,65.7,55971
2015,LA,68.5,64692
2015,ME,54.3,12607
2015,MD,61.3,73616
2015,MA,52,71492
2015,MI,60.3,113312
2015,MN,66.3,69834
2015,MS,64,38394
2015,MO,63.8,75061
2015,MT,67.3,12583
2015,NE,72.8,26679
2015,NV,63.3,36298
2015,NH,51.3,12433
2015,NJ,60,103127
2015,NM,65.3,25816
2015,NY,58.8,237274
2015,NC,60.7,120843
2015,ND,76.4,11314
2015,OH,63.1,139264
2015,OK,69.1,53122
2015,OR,58.1,45655
2015,PA,58.7,141047
2015,RI,52.5,10993
2015,SC,61.1,58139
2015,SD,78.2,12336
2015,TN,62.8,81685
2015,TX,70.2,403618
2015,UT,78,50778
2015,VT,51.1,5903
2015,VA,61.3,103303
2015,WA,62.8,88990
2015,WV,59.4,19805
2015,WI,61.8,67041
2015,WY,70.2,7765
2014,AL,61.8,59422
2014,AK,77.3,11392
2014,AZ,66.4,86887
2014,AR,67,38511
2014,CA,62.4,502879
2014,CO,60.7,65830
2014,CT,53,36285
2014,DE,60.8,10972
2014,FL,59.7,219991
2014,GA,62.2,130946
2014,HI,69.3,18550
2014,ID,72.7,22876
2014,IL,61.1,158556
2014,IN,64.9,84080
2014,IA,67.8,39687
2014,KS,70,39223
2014,KY,65.8,56170
2014,LA,68.4,64497
2014,ME,54.3,12698
2014,MD,61.5,73921
2014,MA,52.5,71908
2014,MI,60.6,114375
2014,MN,66.4,69904
2014,MS,64.4,38736
2014,MO,64.1,75360
2014,MT,67,12432
2014,NE,73.6,26794
2014,NV,63.3,35861
2014,NH,50.5,12302
2014,NJ,59.9,103305
2014,NM,65.5,26052
2014,NY,59,238773
2014,NC,61,120975
2014,ND,78.8,11359
2014,OH,63.1,139467
2014,OK,69.9,53339
2014,OR,58.7,45556
2014,PA,59.1,142268
2014,RI,51.5,10823
2014,SC,61.1,57627
2014,SD,77.8,12283
2014,TN,63,81602
2014,TX,70.7,399766
2014,UT,80,51154
2014,VT,52.9,6130
2014,VA,61.3,103300
2014,WA,63.3,88585
2014,WV,60.3,20301
2014,WI,61.8,67161
2014,WY,69.4,7696
2005,AL,63.6,60453
2005,AK,73.9,10459
2005,AZ,80.6,96199
2005,AR,69.5,39208
2005,CA,70.5,548882
2005,CO,69.6,68944
2005,CT,58.8,41718
2005,DE,65.3,11643
2005,FL,64.3,226240
2005,GA,71.4,142200
2005,HI,69.2,17924
2005,ID,78.9,23062
2005,IL,67,179020
2005,IN,67,87193
2005,IA,66.9,39311
2005,KS,71.3,39888
2005,KY,65,56444
2005,LA,62,60937
2005,ME,54.3,14112
2005,MD,62,74980
2005,MA,55.9,76865
2005,MI,61.9,127706
2005,MN,66.3,70919
2005,MS,68.7,42395
2005,MO,65.9,78618
2005,MT,64,11583
2005,NE,73.1,26145
2005,NV,73.9,37268
2005,NH,54.1,14420
2005,NJ,63.7,113776
2005,NM,73,28835
2005,NY,59.9,246351
2005,NC,66.6,123096
2005,ND,64.8,8390
2005,OH,63.5,148388
2005,OK,71.7,51801
2005,OR,62.9,45922
2005,PA,58.5,145383
2005,RI,55.6,12697
2005,SC,64.3,57711
2005,SD,74.7,11462
2005,TN,65.2,81747
2005,TX,77.4,385915
2005,UT,92.8,51556
2005,VT,50.2,6295
2005,VA,64,104555
2005,WA,63,82703
2005,WV,59.2,20836
2005,WI,62.5,70984
2005,WY,71.4,7239
